Unnamed: 0.1,Unnamed: 0,City,Locality,Longitude,Latitude,Cuisines,Average Cost for two,Has Table booking,Has Online delivery,Is delivering now,Price range,Aggregate rating,Votes,Country_Brazil,Country_Canada,Country_India,Country_Indonesia,Country_New Zealand,Country_Phillipines,Country_Qatar,Country_Singapore,Country_South Africa,Country_Sri Lanka,Country_Turkey,Country_UAE,Country_United Kingdom,Country_United States,Country Code_14,Country Code_30,Country Code_37,Country Code_94,Country Code_148,Country Code_162,Country Code_166,Country Code_184,Country Code_189,Country Code_191,Country Code_208,Country Code_214,Country Code_215,Country Code_216,Currency_Brazilian Real(R$),Currency_Dollar($),Currency_Emirati Diram(AED),Currency_Indian Rupees(Rs.),Currency_Indonesian Rupiah(IDR),Currency_NewZealand($),Currency_Pounds(£),Currency_Qatari Rial(QR),Currency_Rand(R),Currency_Sri Lankan Rupee(LKR),Currency_Turkish Lira(TL),Rating color_Green,Rating color_Orange,Rating color_Red,Rating color_White,Rating color_Yellow,Rating text_Excellent,Rating text_Good,Rating text_Not rated,Rating text_Poor,Rating text_Very Good
46,46,0.0020940215684221546,0.00031410323526332324,-43.176,-22.96516667,0.0009423097057899697,170,0,0,0,4,4.2,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
47,47,0.0020940215684221546,0.00010470107842110774,-43.191,-22.98683333,0.0006282064705266465,60,0,0,0,3,4.8,19,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
48,48,0.0020940215684221546,0.00010470107842110774,-43.227042,-22.973507,0.00041880431368443097,100,0,0,0,4,4.9,40,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
49,49,0.0020940215684221546,0.00031410323526332324,-43.211425,-22.98520833,0.00010470107842110774,90,0,0,0,3,4.6,21,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
50,50,0.0020940215684221546,0.00031410323526332324,-43.203,-22.98533333,0.00041880431368443097,120,0,0,0,4,4.9,49,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
51,51,0.0020940215684221546,0.00031410323526332324,-43.20520833,-22.98531944,0.0009423097057899697,170,0,0,0,4,4.6,21,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
52,52,0.0020940215684221546,0.00010470107842110774,-43.219563,-22.966647,0.0009423097057899697,90,0,0,0,3,4.3,14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
53,53,0.0020940215684221546,0.00010470107842110774,-43.34879167,-22.99991111,0.005653858234739818,150,0,0,0,4,4.0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
54,54,0.0020940215684221546,0.00020940215684221548,-43.227,-22.98416667,0.0017799183331588316,250,0,0,0,4,4.6,25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
55,55,0.0020940215684221546,0.00020940215684221548,-43.22566667,-22.98516667,0.00010470107842110774,120,0,0,0,4,4.4,13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
